Manufacturer,Color Name,Color Number,Red Value,Green Value,Blue Value,Hex
Benjamin Moore,Frostine,AF-5,239,242,236,EFF2EC
Benjamin Moore,Gardenia,AF-10,244,241,234,F4F1EA
Benjamin Moore,Steam,AF-15,241,240,231,F1F0E7
Benjamin Moore,Mascarpone,AF-20,249,248,233,F9F8E9
Benjamin Moore,Paper,AF-25,241,241,228,F1F1E4
Benjamin Moore,Deep,AF-30,239,237,220,EFEDDC
Benjamin Moore,Vapor,AF-35,240,237,224,F0EDE0
Benjamin Moore,Lychee,AF-40,246,237,221,F6EDDD
Benjamin Moore,Collector's,AF-45,242,235,221,F2EBDD
Benjamin Moore,Etiquette,AF-50,230,225,214,E6E1D6
Benjamin Moore,Sonnet,AF-55,228,220,206,E4DCCE
Benjamin Moore,Peau,AF-60,230,220,207,E6DCCF
Benjamin Moore,Fossil,AF-65,228,222,207,E4DECF
Benjamin Moore,Battenberg,AF-70,234,230,209,EAE6D1
Benjamin Moore,Refined,AF-75,223,224,206,DFE0CE
Benjamin Moore,Jute,AF-80,218,211,191,DAD3BF
Benjamin Moore,Frappe,AF-85,232,220,196,E8DCC4
Benjamin Moore,Harmony,AF-90,222,205,178,DECDB2
Benjamin Moore,Hush,AF-95,213,202,176,D5CAB0
Benjamin Moore,Pashmina,AF-100,188,179,162,BCB3A2
Benjamin Moore,Elk,AF-105,152,134,105,988669
Benjamin Moore,Coriander,AF-110,149,129,102,958166
Benjamin Moore,Lodge,AF-115,126,103,78,7E674E
Benjamin Moore,Tamarind,AF-120,116,97,71,746147
Benjamin Moore,Morrel,AF-125,179,151,121,B39779
Benjamin Moore,Truffle,AF-130,199,177,152,C7B198
Benjamin Moore,Interlude,AF-135,185,163,139,B9A38B
Benjamin Moore,Pensive,AF-140,190,171,150,BEAB96
Benjamin Moore,Kangaroo,AF-145,192,178,153,C0B299
Benjamin Moore,Cotswold,AF-150,182,167,150,B6A796
Benjamin Moore,Weimaraner,AF-155,160,147,131,A09383
Benjamin Moore,Carob,AF-160,141,112,94,8D705E
Benjamin Moore,Kona,AF-165,115,87,66,735742
Benjamin Moore,French,AF-170,96,78,68,6.04E+46
Benjamin Moore,Barista,AF-175,89,67,59,59433B
Benjamin Moore,Wenge,AF-180,61,46,44,3D2E2C
Benjamin Moore,Venetian,AF-185,197,170,151,C5AA97
Benjamin Moore,Boudoir,AF-190,219,195,175,DBC3AF
Benjamin Moore,Terra,AF-195,222,191,160,DEBFA0
Benjamin Moore,Lingerie,AF-200,213,182,150,D5B696
Benjamin Moore,Serendipity,AF-205,218,177,146,DAB192
Benjamin Moore,Milk,AF-210,212,165,131,D4A583
Benjamin Moore,Italianate,AF-215,204,154,119,CC9A77
Benjamin Moore,Masada,AF-220,164,104,63,A4683F
Benjamin Moore,Firenze,AF-225,185,117,81,B97551
Benjamin Moore,Buttered,AF-230,196,118,65,C47641
Benjamin Moore,Warmed,AF-235,151,91,59,975B3B
Benjamin Moore,Satchel,AF-240,129,80,50,815032
Benjamin Moore,Ipanema,AF-245,198,164,141,C6A48D
Benjamin Moore,Head,AF-250,240,223,211,F0DFD3
Benjamin Moore,Fondant,AF-255,249,238,228,F9EEE4
Benjamin Moore,Proposal,AF-260,233,218,213,E9DAD5
Benjamin Moore,Charmeuse,AF-265,220,205,195,DCCDC3
Benjamin Moore,Tea,AF-270,161,111,105,A16F69
Benjamin Moore,Rustique,AF-275,125,63,47,7D3F2F
Benjamin Moore,Salsa,AF-280,172,85,64,AC5540
Benjamin Moore,Moroccan,AF-285,179,93,81,B35D51
Benjamin Moore,Caliente,AF-290,139,40,41,8B2829
Benjamin Moore,Pomegranate,AF-295,140,57,63,8C393F
Benjamin Moore,Dinner,AF-300,119,55,56,773738
Benjamin Moore,Ylang,AF-305,245,234,207,F5EACF
Benjamin Moore,Subtle,AF-310,243,232,208,F3E8D0
Benjamin Moore,Jicama,AF-315,243,223,189,F3DFBD
Benjamin Moore,Flawless,AF-320,238,220,190,EEDCBE
Benjamin Moore,Handmade,AF-325,239,216,179,EFD8B3
Benjamin Moore,Soleil,AF-330,253,234,190,FDEABE
Benjamin Moore,Safari,AF-335,235,211,169,EBD3A9
Benjamin Moore,Oat,AF-340,208,187,147,D0BB93
Benjamin Moore,Honeymoon,AF-345,217,187,136,D9BB88
Benjamin Moore,Kurkuma,AF-350,186,147,88,BA9358
Benjamin Moore,Etruscan,AF-355,176,131,86,B08356
Benjamin Moore,Farm,AF-360,197,160,121,C5A079
Benjamin Moore,Amulet,AF-365,218,200,155,DAC89B
Benjamin Moore,Citrine,AF-370,201,172,111,C9AC6F
Benjamin Moore,Rattan,AF-375,188,166,120,BCA678
Benjamin Moore,Coastal,AF-380,195,180,148,C3B494
Benjamin Moore,Splendor,AF-385,206,190,150,CEBE96
Benjamin Moore,Glacial,AF-390,196,184,158,C4B89E
Benjamin Moore,Meditation,AF-395,172,164,141,ACA48D
Benjamin Moore,Elemental,AF-400,178,173,142,B2AD8E
Benjamin Moore,Thicket,AF-405,162,161,127,A2A17F
Benjamin Moore,Lapland,AF-410,181,175,143,B5AF8F
Benjamin Moore,Grasshopper,AF-415,198,196,152,C6C498
Benjamin Moore,Agave,AF-420,173,170,111,ADAA6F
Benjamin Moore,Anjou,AF-425,200,183,122,C8B77A
Benjamin Moore,Wasabi,AF-430,181,169,93,B5A95D
Benjamin Moore,Spa,AF-435,214,212,185,D6D4B9
Benjamin Moore,Urban,AF-440,178,182,151,B2B697
Benjamin Moore,Aventurine,AF-445,152,157,121,989D79
Benjamin Moore,Seedling,AF-450,164,183,147,A4B793
Benjamin Moore,Croquet,AF-455,179,183,160,B3B7A0
Benjamin Moore,Jojoba,AF-460,134,139,117,868B75
Benjamin Moore,Wind,AF-465,200,203,183,C8CBB7
Benjamin Moore,Flora,AF-470,164,173,159,A4AD9F
Benjamin Moore,Lush,AF-475,116,129,114,748172
Benjamin Moore,Boreal,AF-480,84,96,79,54604F
