Manufacturer,Interior/Exterior,Product,,Ultra Flat,Flat ,Matte,Low Sheen,Eggshell,Low Luster,Satin,Pearl,Semi Gloss,Medium Luster,Soft Gloss,Gloss,High Gloss,,Translucent,Semi Transparent,Semi Solid,Solid,Other
,,,,,,,,,,,,,,,,,,,,,,
SW,Exterior,Emerald ,,,Flat ,,,,,Satin,,,,,Gloss,,,,,,,
SW,Exterior,Emerald Rain Refresh,,,Flat ,,,,,Satin,,,,,Gloss,,,,,,,
SW,Exterior,Duration ,,,Flat ,,,,,Satin,,,,,Gloss,,,,,,,
SW,Exterior,Super Paint ,,,Flat ,,,,,Satin,,,,,Gloss,High Gloss,,,,,,
SW,Exterior,Latitude ,,,Flat ,,,,,Satin,,,,,Gloss,,,,,,,
SW,Exterior,A-100,,,Flat ,,,,,Satin,,,,,Gloss,,,,,,,
SW,Exterior,Loxon,,,Flat ,,,,,,,,,,,,,,,,,
SW,Exterior,Porch & Floor,,,,,,,,Satin,,,,,,,,,,,,
SW,Exterior,SuperDeck,,,,,,,,,,,,,,,,,,,,
SW,Exterior,9600 Series Solid Stain,,,,,,,,,,,,,,,,,,,,
SW,Exterior,Woodscapes,,,,,,,,,,,,,,,,,,,,
SW,Interior,Emerald Designer ,,,Flat ,,,,,,,,,,,,,,,,,
SW,Interior,Emerald ,,,Flat ,Matte,,,,Satin,,Semi Gloss,,,,,,,,,,
SW,Interior,Duration ,,,Flat ,Matte,,,,Satin,,Semi Gloss,,,,,,,,,,
SW,Interior,Cashmere,,,Flat ,,,Eggshell,Low Luster,,Pearl,,Medium Luster,,,,,,,,,
SW,Interior,Super Paint,,,Flat ,,,,,,,Semi Gloss,,,,,,,,,,
SW,Interior,SW Ceiling Paint,,,Flat ,,,,,,,,,,,,,,,,,
SW,Interior,ProClassic ,,,,,,,,Satin,,Semi Gloss,,,Gloss,,,,,,,
SW,Interior,ProClassic WB Alkyd Enamel,,,,,,,,Satin,,Semi Gloss,,,Gloss,High Gloss,,,,,,
SW,Interior,ProClassic Oil,,,,,,,,Satin,,Semi Gloss,,,Gloss,,,,,,,
SW,Interior,Painter's Edge Plus,,,Flat ,,,Eggshell,,,,Semi Gloss,,,,,,,,,,
SW,Interior,ProMar 400,,,Flat ,,,Eggshell,,,,Semi Gloss,,,,,,,,,,
SW,Interior,ProMar 200,,,Flat ,,,Eggshell,,,,Semi Gloss,,,Gloss,,,,,,,
SW,Interior,Minwax,,,,,,,,,,,,,,,,,,,,
SW,Interior/Exterior,Emerald Urethane,,,,,,,,Satin,,Semi Gloss,,,Gloss,,,,,,,
SW,Interior/Exterior,DTM,,,,,,,,,,,,,,,,,,,,
SW,Interior/Exterior,Industrial Enamel,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Renner,765 SuperHang,,,,,10 Matte,,,,30 Satin,,50 Semi Gloss,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BM,Exterior,Aura,,,Flat ,,,,Low Luster,Satin,,,,Soft Gloss,,,,,,,,
BM,Exterior,Regal,,,Flat ,,,,Low Luster,,,,,Soft Gloss,,,,,,,,
BM,Exterior,Ben,,,Flat ,,,,Low Luster,,,,,Soft Gloss,,,,,,,,
BM,Exterior,Ultra Spec 500,,,,,,,,,,,,,,,,,,,,
BM,Exterior,Element Guard,,,Flat ,,,,Low Luster,,,,,Soft Gloss,,,,,,,,
BM,Interior,Aura Bath & Spa,,,,Matte,,,,,,,,,,,,,,,,
BM,Interior,Aura,,,,Matte,,Eggshell,,Satin,,Semi Gloss,,,,,,,,,,
BM,Interior,Regal,,,Flat ,Matte,,Eggshell,,Satin,,Semi Gloss,,,,,,,,,,
BM,Interior,Ben,,,,Matte,,Eggshell,,Satin,,Semi Gloss,,,,,,,,,,
BM,Interior,BM Ceiling Paint,,Ultra Flat,,,,,,,,,,,,,,,,,,
BM,Interior,Advance,,,,,,,,Satin,,Semi Gloss,,,Gloss,High Gloss,,,,,,
BM,Interior,Ultra Spec 500,,,,,,,,,,,,,,,,,,,,
BM,Interior,Scuff X,,,,,,,,,,,,,,,,,,,,
BM,Interior,Super Hide,,,,,,,,,,,,,,,,,,,,
BM,Interior,Kitchen & Bath,,,,,,,,Satin,,,,,,,,,,,,
BM,Exterior,Floor & Patio,,,,,Low Sheen,,,,,,,,,High Gloss,,,,,,
BM,Exterior,WoodLuxe-WB,,,,,,,,,,,,,,,,Translucent,Semi Transparent,Semi Solid,Solid,Ultra Flat Solid
,Exterior,WoodLuxe-Oil,,,,,,,,,,,,,,,,Translucent,Semi Transparent,Semi Solid,,
