Manufacturer,Color Number,Color Name,Locator,Red Value,Green Value,Blue Value,Hex
Sherwin Williams,SW0001,Mulberry Silk,N/A,148,118,108,94766C
Sherwin Williams,SW0002,Chelsea Mauve,N/A,190,172,159,BEAC9F
Sherwin Williams,SW0003,Cabbage Rose,N/A,197,159,145,C59F91
Sherwin Williams,SW0004,Rose Brocade,N/A,153,108,110,996C6E
Sherwin Williams,SW0005,Deepest Mauve,N/A,109,89,90,6D595A
Sherwin Williams,SW0006,Toile Red,N/A,139,83,78,8B534E
Sherwin Williams,SW0007,Decorous Amber,N/A,172,117,89,AC7559
Sherwin Williams,SW0008,Cajun Red,N/A,141,66,47,8D422F
Sherwin Williams,SW0009,Eastlake Gold,N/A,194,142,97,C28E61
Sherwin Williams,SW0010,Wickerwork,N/A,193,158,128,C19E80
Sherwin Williams,SW0011,Crewel Tan,N/A,203,185,155,CBB99B
Sherwin Williams,SW0012,Empire Gold,N/A,193,159,110,C19F6E
Sherwin Williams,SW0013,Majolica Green,N/A,174,176,143,AEB08F
Sherwin Williams,SW0014,Sheraton Sage,N/A,143,134,102,8F8666
Sherwin Williams,SW0015,Gallery Green,N/A,112,134,114,708672
Sherwin Williams,SW0016,Billiard Green,N/A,69,88,77,45584D
Sherwin Williams,SW0017,Calico,N/A,140,164,156,8CA49C
Sherwin Williams,SW0018,Teal Stencil,N/A,98,127,123,627F7B
Sherwin Williams,SW0019,Festoon Aqua,N/A,160,187,184,A0BBB8
Sherwin Williams,SW0020,Peacock Plume,N/A,115,150,148,739694
Sherwin Williams,SW0021,Queen Anne Lilac,N/A,192,182,180,C0B6B4
Sherwin Williams,SW0022,Patchwork Plum,N/A,126,105,106,7E696A
Sherwin Williams,SW0023,Pewter Tankard,N/A,163,155,144,A39B90
Sherwin Williams,SW0024,Curio Gray,N/A,152,137,119,988977
Sherwin Williams,SW0025,Rosedust,N/A,204,141,132,CC8D84
Sherwin Williams,SW0026,Rachel Pink,N/A,232,185,174,E8B9AE
Sherwin Williams,SW0027,Aristocrat Peach,N/A,236,206,185,ECCEB9
Sherwin Williams,SW0028,Caen Stone,N/A,236,208,177,ECD0B1
Sherwin Williams,SW0029,Acanthus,N/A,205,205,180,CDCDB4
Sherwin Williams,SW0030,Colonial Yellow,N/A,239,196,136,EFC488
Sherwin Williams,SW0031,Dutch Tile Blue,N/A,154,171,171,9AABAB
Sherwin Williams,SW0032,Needlepoint Navy,N/A,84,102,112,546670
Sherwin Williams,SW0033,Rembrandt Ruby,N/A,151,79,73,974F49
Sherwin Williams,SW0034,Roycroft Rose,N/A,192,143,128,C08F80
Sherwin Williams,SW0035,Warm Beige,N/A,238,218,195,EEDAC3
Sherwin Williams,SW0036,Buckram Binding,N/A,217,195,166,D9C3A6
Sherwin Williams,SW0037,Morris Room Grey,N/A,173,161,147,ADA193
Sherwin Williams,SW0038,Library Pewter,N/A,127,114,99,7F7263
Sherwin Williams,SW0039,Mellow Mauve,N/A,196,149,122,C4957A
Sherwin Williams,SW0040,Roycroft Adobe,N/A,167,98,81,A76251
Sherwin Williams,SW0041,Dard Hunter Green,N/A,58,74,63,3A4A3F
Sherwin Williams,SW0042,Ruskin Room Green,N/A,172,161,125,ACA17D
Sherwin Williams,SW0043,Peristyle Brass,N/A,174,144,94,AE905E
Sherwin Williams,SW0044,Hubbard Squash,N/A,233,191,140,E9BF8C
Sherwin Williams,SW0045,Antiquarian Brown,N/A,148,102,68,946644
Sherwin Williams,SW0046,White Hyacinth,N/A,243,229,209,F3E5D1
Sherwin Williams,SW0047,Studio Blue Green,N/A,109,129,123,6D817B
Sherwin Williams,SW0048,Bunglehouse Blue,N/A,71,98,111,47626F
Sherwin Williams,SW0049,Silver Gray,N/A,184,178,162,B8B2A2
Sherwin Williams,SW0050,Classic Light Buff,N/A,240,234,220,F0EADC
Sherwin Williams,SW0051,Classic Ivory,N/A,242,224,195,F2E0C3
Sherwin Williams,SW0052,Pearl Gray,N/A,203,206,197,CBCEC5
Sherwin Williams,SW0053,Porcelain,N/A,233,224,213,E9E0D5
Sherwin Williams,SW0054,Twilight Gray,N/A,200,191,181,C8BFB5
Sherwin Williams,SW0055,Light French Gray,N/A,194,192,187,C2C0BB
Sherwin Williams,SW0056,Classic Sand,N/A,214,188,170,D6BCAA
Sherwin Williams,SW0057,Chinese Red,N/A,158,62,51,9E3E33
Sherwin Williams,SW0058,Jazz Age Coral,N/A,241,191,177,F1BFB1
Sherwin Williams,SW0059,Frostwork,N/A,203,208,194,CBD0C2
Sherwin Williams,SW0060,Alexandrite,N/A,89,140,116,598C74
Sherwin Williams,SW0061,Salon Rose,N/A,171,120,120,AB7878
Sherwin Williams,SW0062,Studio Mauve,N/A,198,185,184,C6B9B8
Sherwin Williams,SW0063,Blue Sky,N/A,171,209,201,ABD1C9
Sherwin Williams,SW0064,Blue Peacock,N/A,1,78,76,014E4C
Sherwin Williams,SW0065,Vogue Green,N/A,75,86,69,4B5645
Sherwin Williams,SW0066,Cascade Green,N/A,172,177,159,ACB19F
Sherwin Williams,SW0067,Belvedere Cream,N/A,240,205,160,F0CDA0
Sherwin Williams,SW0068,Copen Blue,N/A,194,204,196,C2CCC4
Sherwin Williams,SW0069,Rose Tan,N/A,205,156,133,CD9C85
Sherwin Williams,SW0070,Pink Shadow,N/A,222,195,185,DEC3B9
Sherwin Williams,SW0071,Orchid,N/A,188,156,158,BC9C9E
Sherwin Williams,SW0072,Deep Maroon,N/A,98,63,69,623F45
Sherwin Williams,SW0073,Chartreuse,N/A,225,210,134,E1D286
Sherwin Williams,SW0074,Radiant Lilac,N/A,164,137,160,A489A0
Sherwin Williams,SW0075,Holiday Turquoise,N/A,138,198,189,8AC6BD
Sherwin Williams,SW0076,Appleblossom,N/A,218,181,180,DAB5B4
Sherwin Williams,SW0077,Classic French Gray,N/A,136,135,130,888782
Sherwin Williams,SW0078,Sunbeam Yellow,N/A,240,211,157,F0D39D
Sherwin Williams,SW0079,Pinky Beige,N/A,201,170,152,C9AA98
Sherwin Williams,SW0080,Pink Flamingo,N/A,205,113,123,CD717B
Sherwin Williams,SW1015,Skyline Steel,283-C3,198,191,179,C6BFB3
Sherwin Williams,SW1666,Venetian Yellow,138-C3,246,227,161,F6E3A1
Sherwin Williams,SW1667,Icy Lemonade,138-C2,244,232,178,F4E8B2
Sherwin Williams,SW1668,Pineapple Cream,138-C1,242,234,195,F2EAC3
Sherwin Williams,SW2704,Merlot,276-C7,81,50,59,51323B
Sherwin Williams,SW2735,Rockweed,252-C1,68,55,53,443735
Sherwin Williams,SW2739,Charcoal Blue,253-C4,61,68,80,3D4450
Sherwin Williams,SW2740,Mineral Gray,253-C5,81,87,99,515763
Sherwin Williams,SW2801,Rookwood Dark Red,N/A,75,41,41,4B2929
Sherwin Williams,SW2802,Rookwood Red,N/A,98,47,45,622F2D
Sherwin Williams,SW2803,Rookwood Terra Cotta,N/A,151,88,64,975840
Sherwin Williams,SW2804,Renwick Rose Beige,N/A,175,136,113,AF8871
Sherwin Williams,SW2805,Renwick Beige,N/A,195,176,157,C3B09D
Sherwin Williams,SW2806,Rookwood Brown,N/A,127,97,74,7F614A
Sherwin Williams,SW2807,"Rookwood Medium
Brown",N/A,110,82,65,6E5241
Sherwin Williams,SW2808,Rookwood Dark Brown,N/A,95,77,67,5F4D43
Sherwin Williams,SW2809,"Rookwood Shutter
Green",N/A,48,59,57,303B39
Sherwin Williams,SW2810,Rookwood Sash Green N/A,,80,106,103,506A67
Sherwin Williams,SW2811,Rookwood Blue Green,N/A,115,132,120,738478
Sherwin Williams,SW2812,Rookwood Jade,N/A,151,159,127,979F7F
Sherwin Williams,SW2813,Downing Straw,N/A,202,171,125,CAAB7D
Sherwin Williams,SW2814,"Rookwood Antique
Gold",N/A,165,130,88,A58258
Sherwin Williams,SW2815,Renwick Olive,N/A,151,137,106,97896A
Sherwin Williams,SW2816,Rookwood Dark Green,N/A,86,92,74,565C4A
Sherwin Williams,SW2817,Rookwood Amber,N/A,192,134,80,C08650
Sherwin Williams,SW2818,Renwick Heather,N/A,139,125,123,8B7D7B
Sherwin Williams,SW2819,Downing Slate,N/A,119,127,134,777F86
Sherwin Williams,SW2820,Downing Earth,N/A,136,123,103,887B67
Sherwin Williams,SW2821,Downing Stone,N/A,166,163,151,A6A397
Sherwin Williams,SW2822,Downing Sand,N/A,203,188,165,CBBCA5
Sherwin Williams,SW2823,Rookwood Clay,N/A,154,126,100,9A7E64
Sherwin Williams,SW2824,Renwick Golden Oak,N/A,150,114,76,96724C
Sherwin Williams,SW2826,"Colonial Revival Green
Stone",N/A,163,155,126,A39B7E
Sherwin Williams,SW2827,Colonial Revival Stone,N/A,167,148,124,A7947C
Sherwin Williams,SW2828,Colonial Revival Tan,N/A,211,182,153,D3B699
Sherwin Williams,SW2829,Classical White,N/A,236,225,203,ECE1CB
Sherwin Williams,SW2831,Classical Gold,N/A,235,184,117,EBB875
Sherwin Williams,SW2832,Colonial Revival Gray,N/A,180,185,185,B4B9B9
